ETF Ticker,Name,Sector,Asset Class,Weight (%),Location,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #357,Treasury,Fixed Income,0.17,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #350,Treasury,Fixed Income,0.17,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.17,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK,Government Related,Fixed Income,0.17,China,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.17,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.17,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.17,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.17,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.17,China,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.17,France,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 5YR #139,Treasury,Fixed Income,0.17,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #359,Treasury,Fixed Income,0.17,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.17,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.17,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF) RegS,Treasury,Fixed Income,0.17,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #344,Treasury,Fixed Income,0.17,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,AGRICULTURAL DEVELOPMENT BANK OF C,Government Related,Fixed Income,0.17,China,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.17,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.16,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.16,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.16,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.16,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK,Government Related,Fixed Income,0.16,China,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.16,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF),Treasury,Fixed Income,0.16,France,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.16,France,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK,Government Related,Fixed Income,0.16,China,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.16,China,,,,,,,,,,,,,,,,,,,,
IAGG,AGRICULTURAL DEVELOPMENT BANK OF C,Government Related,Fixed Income,0.16,China,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.15,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.15,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.15,France,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.15,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,PORTUGAL (REPUBLIC OF),Treasury,Fixed Income,0.15,Portugal,,,,,,,,,,,,,,,,,,,,
IAGG,AUSTRALIA (COMMONWEALTH OF) RegS,Treasury,Fixed Income,0.15,Australia,,,,,,,,,,,,,,,,,,,,
IAGG,AGRICULTURAL DEVELOPMENT BANK OF C,Government Related,Fixed Income,0.15,China,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.15,Germany,,,,,,,,,,,,,,,,,,,,
