,Mini Robo Advisors Ultra Conserative Portfolio,Mini Robo Advisors Conserative Portfolio,Mini Robo Advisors Balanced Income Portfolio,Mini Robo Advisors Balanced Growth Portfolio,Mini Robo Advisors Moderate Growth Portfolio,Mini Robo Advisors Aggressive Portfolio,Mini Robo Advisors Ultra Aggressive Portfolio
25000,25162.175,25331.525,25667.35,26634.875,25883.85,26234.9,26488.3
25000,25167.9,25294.025,25649.15,26705.075,25920.725,26245.975,26446.675
25000,25152.575,25303.775,25683.875,26699.875,25905.5,26271.075,26518.525
25000,25164.85,25355.35,25671.525,26635.1,25920.925,26308.425,26626.175
25000,25168.725,25319.65,25664.55,26627.675,25924.65,26238.5,26596.125
25000,25178.775,25293.425,25670.625,26639.35,25923.275,26238.6,26633.85
25000,25198.45,25288.8,25670.55,26632.7,25857.775,26201.35,26666.975
25000,25181.225,25323.7,25659.75,26599.675,25811.775,26233.45,26742.75
25000,25178.55,25315.65,25697.2,26568.575,25888.075,26249.975,26850.2
25000,25171.2,25305.125,25749.975,26563.175,25938.475,26255,26826.85
25000,25174.05,25286.325,25756.225,26575.225,26008.525,26338.45,26869.075
25000,25182,25316.075,25734.15,26552.475,26044.975,26276.625,26906.35
25000,25173.775,25312.575,25789.575,26556.175,26099.1,26276.65,26977.725
25000,25181.575,25326.925,25760.175,26522.725,26047.375,26331.075,27007.575
25000,25170.825,25330.925,25722.2,26520.9,26080.025,26304.8,27087.975
25000,25191.375,25355.075,25702.725,26452.925,26053.4,26340,27056.9
25000,25193.075,25373.475,25733.975,26488.725,26021.675,26378.275,27066.85
25000,25197.275,25382.375,25719.225,26514.75,25957,26388.675,27110.15
25000,25190.75,25422.8,25737.675,26532.3,26004.55,26314.45,27155.425
25000,25187.1,25423.9,25724.275,26494.575,26013.9,26379.675,27137.425
25000,25197.55,25438.3,25719.275,26523.6,26035.5,26301.525,26995.6
25000,25210.275,25440.2,25701.2,26544.9,26042.85,26232.475,27011.15
25000,25221.7,25457.225,25761.3,26505.025,26056.725,26191.6,27048.1
25000,25220.6,25443.275,25778.15,26500.225,26010.35,26107.225,27019.925
25000,25221.85,25450.5,25787.55,26458.725,25994.9,26109.375,26947.1
25000,25227.8,25447.625,25803,26423.1,26053.85,26135.95,26917.225
25000,25232.625,25483.4,25799.65,26400.175,26069.225,26202.35,26872.55
25000,25233.425,25485,25834.75,26430.225,26117.025,26247.575,26777.525
25000,25246.675,25470.925,25784.825,26472.25,26199.775,26210.2,26745.55
25000,25266.5,25462.575,25825.6,26559.075,26220.875,26288.775,26774.525
25000,25241.65,25472.3,25859.675,26570.85,26252.525,26315.6,26808.925
25000,25256.825,25476.875,25875.1,26538.575,26275.325,26336.65,26812.125
25000,25269.325,25469.725,25880.2,26576.5,26383.05,26267.35,26861.175
25000,25255.25,25486.975,25916.8,26606.925,26372.55,26225.125,26874.8
25000,25229.225,25524.475,25935.875,26613.8,26363.6,26287.425,26844.175
25000,25256.375,25517.4,25945.775,26615.45,26411.775,26319.45,26899.225
25000,25280.225,25504.1,25974.25,26590.175,26454.825,26261.325,26851.275
25000,25263.1,25500.525,26019.9,26621.75,26485.425,26333.45,26919.5
25000,25269.625,25510.5,25962.825,26676.05,26454.25,26378.05,27056.375
25000,25299.675,25498.2,26036.175,26687.35,26438.175,26331.525,27003.15
25000,25308.75,25488.9,26010.15,26719.275,26555.725,26350.85,26928.25
25000,25300.375,25488.925,26035.55,26732.3,26576.325,26404.875,26969
25000,25282.375,25472.7,26033.1,26754.45,26625.65,26450.8,27017.225
25000,25256.95,25482.775,25985.025,26768.075,26606.525,26476.65,27100.25
25000,25259.275,25505.225,25998.8,26697.15,26647.275,26421.35,27206.875
25000,25243.425,25518.175,26011,26678.825,26605.625,26394.85,27262.2
25000,25230.7,25554.675,26049.925,26702.775,26692.625,26354.325,27276.375
25000,25205.575,25567.425,26016.425,26717.875,26751.625,26405.9,27355.45
25000,25206.4,25533.175,25986.675,26703.575,26803.05,26323.375,27368.975
25000,25190.925,25535.225,25974.375,26684.725,26831.325,26310.6,27342.9
25000,25184.475,25517.075,25983.275,26657.25,26785.85,26316.025,27388.925
25000,25189.375,25514.85,26013.025,26669.725,26954.525,26295.7,27476.8
25000,25188.4,25520.575,26005.8,26666.2,26948.65,26309.425,27468.775
25000,25225.875,25510.4,26021.575,26694.075,26949.7,26377.625,27554.1
25000,25247.925,25498.425,26049.15,26733.8,26967.95,26333.15,27538.15
25000,25242.45,25525.275,26014.725,26760.275,26956.475,26242.2,27411.55
25000,25229.05,25513.225,26006.35,26785.675,26960.1,26137.4,27435.875
25000,25221.825,25511.425,25967,26777.65,27002.975,26215.925,27509.675
25000,25210.725,25528.6,25968.75,26688.75,27061.7,26207.375,27421.725
25000,25223.375,25518.125,26011.925,26676.975,26978.25,26248.9,27549.2
25000,25238.6,25493.725,26026.15,26693.525,26984.375,26298.85,27579.625
25000,25249.875,25498,26002.35,26666.425,27083.2,26264.45,27562.75
25000,25257.825,25513.4,26002.575,26631.4,27129.2,26280.875,27492.175
25000,25259.875,25476.125,26036.95,26613.85,27239.775,26291.05,27502.9
25000,25253.525,25489.5,26058.4,26580.725,27291.4,26370.75,27624.425
25000,25239.175,25483.425,26041.775,26585.175,27308.475,26471.65,27714.525
25000,25255.975,25485.625,26050.95,26604.375,27420.975,26463.75,27655.225
25000,25253.825,25470.075,26027.525,26626.625,27435.55,26511.6,27732.575
25000,25259.925,25490.275,26032.825,26606.125,27429.925,26622.35,27740.9
25000,25224.475,25505.9,25983.875,26589.35,27354.525,26545.45,27744.4
25000,25189.5,25525.225,25986.55,26568.675,27408.925,26517.85,27821.875
25000,25198.725,25541.975,25930.275,26609.825,27354.35,26520.275,27793.35
25000,25222.85,25583.15,25941.575,26668.75,27351.6,26542.675,27747.25
25000,25233.375,25546.2,25938.85,26674.325,27332.85,26628.25,27835.975
